AirportCode,WeatherDate,Snow,Rain,Fog,Storm,Precipitation,Hail,Light,Moderate,Heavy,Severe,UNK,Other,AM/PM
ATL,2019-01-02,0,1,0,0,0,0,1,0,0,0,0,0,1
ATL,2019-01-03,0,1,0,0,0,0,0,1,0,0,0,0,0
ATL,2019-01-03,0,1,0,0,0,0,1,0,0,0,0,0,0
ATL,2019-01-03,0,1,0,0,0,0,1,0,0,0,0,0,0
ATL,2019-01-03,0,1,0,0,0,0,1,0,0,0,0,0,1
ATL,2019-01-03,0,1,0,0,0,0,1,0,0,0,0,0,1
ATL,2019-01-03,0,1,0,0,0,0,1,0,0,0,0,0,1
ATL,2019-01-03,0,1,0,0,0,0,1,0,0,0,0,0,1
ATL,2019-01-03,0,1,0,0,0,0,1,0,0,0,0,0,1
ATL,2019-01-04,0,1,0,0,0,0,0,1,0,0,0,0,0
ATL,2019-01-04,0,1,0,0,0,0,0,0,1,0,0,0,0
ATL,2019-01-04,0,1,0,0,0,0,0,1,0,0,0,0,0
ATL,2019-01-04,0,1,0,0,0,0,1,0,0,0,0,0,0
ATL,2019-01-04,0,1,0,0,0,0,0,0,1,0,0,0,1
ATL,2019-01-04,0,1,0,0,0,0,0,1,0,0,0,0,1
ATL,2019-01-04,0,1,0,0,0,0,1,0,0,0,0,0,1
ATL,2019-01-04,0,0,1,0,0,0,0,0,0,1,0,0,1
SEA,2019-01-02,0,0,1,0,0,0,0,1,0,0,0,0,0
SEA,2019-01-03,0,1,0,0,0,0,1,0,0,0,0,0,0
SEA,2019-01-03,0,1,0,0,0,0,0,1,0,0,0,0,1
SEA,2019-01-03,0,1,0,0,0,0,1,0,0,0,0,0,1
SEA,2019-01-03,0,1,0,0,0,0,1,0,0,0,0,0,1
SEA,2019-01-04,0,1,0,0,0,0,1,0,0,0,0,0,0
SEA,2019-01-04,0,1,0,0,0,0,1,0,0,0,0,0,0
SEA,2019-01-04,0,1,0,0,0,0,1,0,0,0,0,0,0
SEA,2019-01-04,0,1,0,0,0,0,1,0,0,0,0,0,1
SEA,2019-01-04,0,1,0,0,0,0,1,0,0,0,0,0,1
SEA,2019-01-04,0,1,0,0,0,0,1,0,0,0,0,0,1
SEA,2019-01-06,0,1,0,0,0,0,1,0,0,0,0,0,0
SEA,2019-01-06,0,1,0,0,0,0,1,0,0,0,0,0,0
SEA,2019-01-06,0,1,0,0,0,0,1,0,0,0,0,0,0
SEA,2019-01-06,0,0,0,1,0,0,0,0,0,1,0,0,0
SEA,2019-01-06,0,1,0,0,0,0,1,0,0,0,0,0,0
SEA,2019-01-06,0,1,0,0,0,0,1,0,0,0,0,0,1
SEA,2019-01-06,0,1,0,0,0,0,1,0,0,0,0,0,1
SEA,2019-01-07,0,1,0,0,0,0,1,0,0,0,0,0,0
SEA,2019-01-07,0,1,0,0,0,0,0,1,0,0,0,0,0
SEA,2019-01-07,0,1,0,0,0,0,1,0,0,0,0,0,0
SFO,2019-01-04,0,0,1,0,0,0,0,1,0,0,0,0,1
SFO,2019-01-05,0,1,0,0,0,0,1,0,0,0,0,0,1
SFO,2019-01-05,0,1,0,0,0,0,1,0,0,0,0,0,1
SFO,2019-01-05,0,1,0,0,0,0,1,0,0,0,0,0,1
SFO,2019-01-06,0,1,0,0,0,0,1,0,0,0,0,0,1
SFO,2019-01-07,0,1,0,0,0,0,1,0,0,0,0,0,1
CLT,2019-01-02,0,1,0,0,0,0,1,0,0,0,0,0,1
CLT,2019-01-03,0,1,0,0,0,0,1,0,0,0,0,0,0
CLT,2019-01-03,0,1,0,0,0,0,1,0,0,0,0,0,0
CLT,2019-01-03,0,1,0,0,0,0,0,1,0,0,0,0,0
CLT,2019-01-03,0,1,0,0,0,0,1,0,0,0,0,0,0
CLT,2019-01-03,0,1,0,0,0,0,0,1,0,0,0,0,0
CLT,2019-01-03,0,1,0,0,0,0,1,0,0,0,0,0,0
CLT,2019-01-03,0,1,0,0,0,0,1,0,0,0,0,0,1
CLT,2019-01-04,0,1,0,0,0,0,1,0,0,0,0,0,0
CLT,2019-01-04,0,1,0,0,0,0,0,1,0,0,0,0,1
CLT,2019-01-04,0,1,0,0,0,0,1,0,0,0,0,0,1
CLT,2019-01-04,0,1,0,0,0,0,0,1,0,0,0,0,1
CLT,2019-01-04,0,1,0,0,0,0,1,0,0,0,0,0,1
CLT,2019-01-04,0,1,0,0,0,0,1,0,0,0,0,0,1
PHX,2019-01-06,0,1,0,0,0,0,1,0,0,0,0,0,0
PHX,2019-01-06,0,1,0,0,0,0,0,1,0,0,0,0,0
PHX,2019-01-06,0,1,0,0,0,0,1,0,0,0,0,0,0
IAH,2019-01-02,0,1,0,0,0,0,1,0,0,0,0,0,1
IAH,2019-01-02,0,1,0,0,0,0,0,0,1,0,0,0,1
IAH,2019-01-02,0,1,0,0,0,0,0,1,0,0,0,0,1
IAH,2019-01-02,0,1,0,0,0,0,1,0,0,0,0,0,1
IAH,2019-01-02,0,1,0,0,0,0,1,0,0,0,0,0,1
IAH,2019-01-03,0,1,0,0,0,0,0,1,0,0,0,0,0
IAH,2019-01-03,0,1,0,0,0,0,0,0,1,0,0,0,0
IAH,2019-01-03,0,1,0,0,0,0,0,1,0,0,0,0,0
IAH,2019-01-03,0,1,0,0,0,0,1,0,0,0,0,0,0
IAH,2019-01-03,0,1,0,0,0,0,1,0,0,0,0,0,0
IAH,2019-01-03,0,1,0,0,0,0,1,0,0,0,0,0,0
IAH,2019-01-06,0,0,1,0,0,0,0,1,0,0,0,0,0
ORD,2019-12-28,0,0,1,0,0,0,0,1,0,0,0,0,1
ORD,2019-12-29,0,1,0,0,0,0,1,0,0,0,0,0,0
ORD,2019-12-29,0,1,0,0,0,0,0,1,0,0,0,0,0
ORD,2019-12-29,0,1,0,0,0,0,1,0,0,0,0,0,0
ORD,2019-12-29,0,1,0,0,0,0,0,1,0,0,0,0,0
ORD,2019-12-29,0,1,0,0,0,0,1,0,0,0,0,0,0
ORD,2019-12-29,0,1,0,0,0,0,0,1,0,0,0,0,0
ORD,2019-12-29,0,1,0,0,0,0,1,0,0,0,0,0,0
ORD,2019-12-29,0,1,0,0,0,0,0,1,0,0,0,0,0
ORD,2019-12-29,0,1,0,0,0,0,1,0,0,0,0,0,0
ORD,2019-12-29,0,1,0,0,0,0,0,1,0,0,0,0,0
ORD,2019-12-29,0,1,0,0,0,0,1,0,0,0,0,0,1
ORD,2019-12-30,0,1,0,0,0,0,1,0,0,0,0,0,0
ORD,2019-12-30,0,1,0,0,0,0,0,1,0,0,0,0,0
ORD,2019-12-30,0,1,0,0,0,0,1,0,0,0,0,0,0
ORD,2019-12-30,0,1,0,0,0,0,1,0,0,0,0,0,0
ORD,2019-12-30,1,0,0,0,0,0,1,0,0,0,0,0,1
ORD,2019-12-30,1,0,0,0,0,0,1,0,0,0,0,0,1
ORD,2019-12-30,1,0,0,0,0,0,1,0,0,0,0,0,1
ORD,2019-12-31,1,0,0,0,0,0,0,1,0,0,0,0,0
ORD,2019-12-31,1,0,0,0,0,0,1,0,0,0,0,0,0
DEN,2019-12-26,0,0,1,0,0,0,0,0,0,1,0,0,1
DEN,2019-12-26,1,0,0,0,0,0,1,0,0,0,0,0,1
DEN,2019-12-26,0,0,1,0,0,0,0,0,0,1,0,0,1
DEN,2019-12-26,0,0,1,0,0,0,0,1,0,0,0,0,1
DEN,2019-12-27,0,0,1,0,0,0,0,1,0,0,0,0,1
DEN,2019-12-28,1,0,0,0,0,0,1,0,0,0,0,0,0
DEN,2019-12-28,0,0,1,0,0,0,0,0,0,1,0,0,0
DEN,2019-12-28,0,0,1,0,0,0,0,0,0,1,0,0,0
DEN,2019-12-28,1,0,0,0,0,0,1,0,0,0,0,0,0
DEN,2019-12-28,1,0,0,0,0,0,0,1,0,0,0,0,1
DEN,2019-12-28,1,0,0,0,0,0,1,0,0,0,0,0,1
DEN,2019-12-29,1,0,0,0,0,0,1,0,0,0,0,0,0
DFW,2019-12-26,0,0,1,0,0,0,0,0,0,1,0,0,0
DFW,2019-12-28,0,1,0,0,0,0,1,0,0,0,0,0,0
DFW,2019-12-28,0,1,0,0,0,0,1,0,0,0,0,0,1
DFW,2019-12-28,0,1,0,0,0,0,1,0,0,0,0,0,1
DFW,2019-12-28,0,1,0,0,0,0,1,0,0,0,0,0,1
DFW,2019-12-28,0,1,0,0,0,0,1,0,0,0,0,0,1
DFW,2019-12-28,0,1,0,0,0,0,1,0,0,0,0,0,1
DFW,2019-12-29,0,1,0,0,0,0,1,0,0,0,0,0,1
DFW,2019-12-29,0,1,0,0,0,0,1,0,0,0,0,0,1
LAX,2019-12-26,0,1,0,0,0,0,1,0,0,0,0,0,0
LAX,2019-12-26,0,1,0,0,0,0,1,0,0,0,0,0,0
LAX,2019-12-26,0,1,0,0,0,0,0,0,1,0,0,0,0
LAX,2019-12-26,0,1,0,0,0,0,0,1,0,0,0,0,0
LAX,2019-12-26,0,1,0,0,0,0,0,0,1,0,0,0,0
LAX,2019-12-26,0,1,0,0,0,0,0,1,0,0,0,0,0
LAX,2019-12-26,0,1,0,0,0,0,1,0,0,0,0,0,0
LAX,2019-12-26,0,1,0,0,0,0,1,0,0,0,0,0,1
ATL,2019-12-28,0,0,1,0,0,0,0,0,0,1,0,0,0
ATL,2019-12-28,0,0,1,0,0,0,0,0,0,1,0,0,0
ATL,2019-12-28,0,1,0,0,0,0,1,0,0,0,0,0,1
ATL,2019-12-29,0,0,1,0,0,0,0,0,0,1,0,0,0
ATL,2019-12-29,0,1,0,0,0,0,1,0,0,0,0,0,0
ATL,2019-12-29,0,0,1,0,0,0,0,0,0,1,0,0,0
ATL,2019-12-29,0,1,0,0,0,0,1,0,0,0,0,0,1
